"","logFC","logCPM","PValue","FDR"
"lp_2755",0.760528949884714,8.84719477067813,9.20578280475702e-05,0.000445986939381445
"lp_1546",0.758229276102374,6.29987965526548,1.77231219418346e-05,9.59388556949189e-05
"lp_3578",0.757764866484521,9.80184214700857,2.18183297862801e-05,0.000116399475052588
"lp_1905",0.756162308793898,8.53317440805057,1.55252289585676e-05,8.48712516401694e-05
"lp_3239",0.755454927073233,4.24940627389157,0.000897860245457033,0.00351834085564933
"lp_1833",0.751952521823072,5.08801252087718,0.000245001594499074,0.00110700720453255
"lp_0284",0.751202254195977,5.43207148682092,0.000116868486456417,0.000557644028048506
"lp_0755",0.748579293781233,9.71541153072706,2.28935482842595e-05,0.000121842105532092
"lp_0844",0.745409355306511,6.49295346751941,3.7257246667687e-05,0.000191386413276703
"lp_0603",0.742352365561993,7.81861554907332,3.41018929064924e-05,0.000177233781443602
"lp_2745",0.734562058358036,6.9528673212751,0.000675345332454022,0.00271857193827855
"lp_3673",0.733158455716411,8.28783405501398,0.00122937265239062,0.00458993432106717
"lp_2764",0.724490385673888,7.85361254757415,0.000357027944241472,0.00154688819677225
"lp_0602",0.717073333086745,8.55423104667191,3.60113009977689e-05,0.000185848532422052
"lp_2790",0.715655531245262,7.52530599712113,2.51769901498192e-05,0.00013335372294665
"lp_2871",0.715394730512139,5.09433284088477,0.00243261301751572,0.00816031094057545
"lp_2763",0.711209754400285,6.93634307038771,1.93338910888031e-05,0.000103896201142258
"lp_1362",0.709411637453777,4.91625795552424,0.00112582048820657,0.00428276041389922
"lp_2228",0.704935697305891,9.82703384867286,8.8911451515224e-05,0.000432637260779574
"lp_0780",0.704277223216543,8.95111416677537,0.000109135209930984,0.000524133090644684
"lp_1539",0.703608763129058,6.67400271322741,0.000337990911416381,0.00147596031139224
"lp_3045",0.7022039266021,8.16209081131325,0.00022069674933246,0.00100746928458158
"lp_0535",0.697778945544206,6.88800640986712,0.000104365529678451,0.00050341020197841
"lp_0282",0.696900602199075,7.0683817477234,0.000498534374355917,0.00208255680155472
"lp_0756",0.695908635912015,10.1638031601647,6.64416991670443e-05,0.000329087073726703
"lp_1454",0.687623843965312,6.44084256299405,5.39485001037868e-05,0.000270843490316971
"lp_2602",0.6853946409407,6.62732985030072,0.000303025390492757,0.00133911819271649
"lp_3319",0.679783324239505,5.11673685292913,0.00209447714121723,0.00725692079914701
"lp_0085",0.67893168488902,5.81032732721643,0.000421761242034039,0.00179637192173476
"lp_1931",0.670384447214907,5.95380457505128,0.000540487626964625,0.00222423718605889
"lp_1549",0.66945540127255,5.65191124268738,0.000517966533211895,0.00214752416578864
"lp_1815",0.663342553626874,5.51864680389058,0.000533483724582566,0.00220360628027202
"lp_2149",0.663292257666642,5.73118621283183,0.00100674668941015,0.00388316580201056
"lp_2765",0.658568490446363,6.45761669243995,0.000468967595444482,0.00196646639453425
"lp_0171",0.655340725403682,7.32561860010141,0.000157183599464805,0.000735738877833148
"lp_3247",0.654844207342791,7.10158809852194,0.000131337630233702,0.000623994663814198
"lp_3445",0.65206719760265,9.46837090312163,0.000537613105387578,0.0022165277752851
