ID	WCFS1.glc.1	WCFS1.glc.2	WCFS1.rib.1	WCFS1.rib.2	NC8.glc.1	NC8.glc.2	NC8.rib.1	NC8.rib.2
lp_1894	929	727	655	617	784	584	650	741
lp_1897	133961	149200	58909	54715	131147	115958	77361	65604
lp_1898	39912	44656	20579	21818	45275	45185	28802	27238
lp_1899	2996	3323	3346	3533	2719	3098	3488	3734
lp_1904	5041	5295	8364	8824	3944	4149	7990	7791
lp_1905	2767	2955	3958	4564	2154	2551	4123	4279
lp_1906	1553	1734	2290	2619	1210	1493	2204	2352
lp_1908	3092	3472	1434	760	2398	2697	222	223
lp_1909	41	75	48	64	95	98	70	86
lp_1910	76	88	54	76	109	142	90	70
lp_1911	1006	1255	1152	1532	862	1197	1292	1312
lp_1912	45	50	115	104	94	91	96	126
lp_1913	198	208	170	184	284	319	273	246
lp_1914	229	287	222	268	425	432	365	335
lp_1915	499	669	651	634	454	637	748	725
lp_1918	285	221	335	464	305	313	562	653
lp_1921	605	548	351	286	480	358	186	186
lp_1922	390	462	492	513	677	1172	1126	991
lp_1923	1032	1135	1650	1970	1181	1491	2435	2566
lp_1925	645	661	942	1413	202	259	617	792
lp_1926	161	122	164	188	144	197	155	147
lp_1927	151	144	149	199	152	230	229	205
lp_1928	419	383	339	393	414	360	232	243
lp_1929	90	90	92	118	67	80	79	87
lp_1930	335	418	432	586	246	297	450	375
lp_1931	518	472	635	757	725	893	1147	1279
lp_1933	28	55	33	55	61	77	116	98
lp_1934	83	75	52	64	79	62	70	87
lp_1936	37	34	34	39	39	39	59	67
lp_1937	36	26	30	37	39	34	38	46
lp_1938	332	411	602	887	416	588	1097	957
lp_1939	931	1024	965	1018	1043	1315	1366	1165
lp_1943	271	345	374	378	1115	1316	1293	1402
lp_1944	45	30	56	69	133	138	209	274
lp_1945	38	24	48	81	74	84	112	211
lp_1946	2	2	4	5	10	10	2	3
lp_1947	321	362	257	271	394	708	356	403
lp_1948	34	66	58	52	105	92	107	67
lp_1949	125	139	115	122	194	179	181	141
lp_1955	63	64	69	42	464	464	128	151
lp_1956	407	391	289	396	344	391	279	390
lp_1957	442	404	305	469	435	493	346	452
lp_1958	354	304	258	290	310	271	194	308
lp_1959	331	230	157	215	220	314	104	238
lp_1964	12484	13322	10981	12347	10159	10840	12590	12167
lp_1965	4674	4830	4021	5066	3825	4445	4415	4722
lp_1966	2609	2485	1888	2235	2450	2686	2329	2565
lp_1967	3235	2939	2533	2856	3092	3125	2895	3314
lp_1968	964	906	805	913	944	956	974	968
lp_1969	2089	2088	1721	1971	1952	2153	2040	2326
lp_1970	4354	4400	3751	4621	4088	4934	3978	4838
lp_1972	67523	71476	52490	64504	58734	72773	63399	68528
lp_1973	23315	21604	18964	18584	21809	16608	19997	17208
lp_1974	499	695	1812	2066	493	725	2014	1868
lp_1975	93	87	62	46	52	70	25	51
lp_1976	2382	2780	2005	2224	1963	2438	1965	2542
lp_1977	1584	1634	1323	1396	1351	1488	1480	1591
lp_1978	1545	1780	1503	1584	1291	1514	1750	1619
lp_1979	218	160	211	212	119	136	242	213
lp_1980	8587	7657	6712	8618	7526	9075	7322	8842
lp_1981	5805	5215	4063	5832	5251	6444	4136	6065
lp_1982	3557	4155	3609	3308	3222	3223	3367	2691
lp_1983	259	344	369	370	177	289	330	338
lp_1985	824	828	748	774	950	1022	1019	1183
lp_1986	1830	1843	1662	2252	1618	2179	2170	2691
lp_1987	4145	4386	3729	5318	3755	5101	5160	6931
lp_1988	3203	3348	3099	2850	2914	2939	3281	3167
lp_1989	1999	1610	1304	1817	1638	2167	1844	2294
lp_1990	2089	1810	1528	2132	1922	2240	2075	2390
lp_1991	394	377	253	281	350	429	225	298
lp_1992	1768	1814	1707	1869	1809	1835	1940	1927
lp_1994	2868	3108	2296	1884	5271	6176	3310	2966
lp_2015	2954	3134	2859	3277	3400	4647	4238	4360
lp_2016	56023	60806	45911	45037	59948	61907	55263	54433
lp_2017	14273	13350	11166	11178	16524	14358	11781	11904
lp_2018	41737	38614	32132	33506	45325	41386	35309	36100
lp_2019	33732	32242	25916	28258	33246	35242	34147	36868
lp_2020	5378	3696	2570	3838	5298	5176	2921	4776
lp_2021	21475	15577	11528	16231	22734	18047	13682	20849
lp_2026	11843	11822	9036	10397	11957	13552	10838	11972
lp_2027	40011	39552	33459	34039	42362	45050	39428	42812
lp_2028	9523	10093	7925	8905	11292	11550	10675	11385
lp_2029	15508	15822	13999	15547	17597	17172	17242	16514
lp_2030	1713	1762	2977	3128	1196	1562	2552	2540
lp_2031	1975	2115	3325	3936	1750	2538	3413	4019
lp_2032	1136	1087	1776	2183	883	1059	1784	2051
lp_2033	29	25	17	14	28	37	23	26
lp_2034	43	43	29	30	33	51	28	42
lp_2035	63	66	53	66	62	82	70	56
lp_2036	22	18	20	19	19	29	18	18
lp_2037	50	66	33	62	48	56	42	37
lp_2039	3444	3351	2406	2140	3414	2958	1671	1839
lp_2040	26326	24427	17397	17120	24458	25324	13226	15809
lp_2041	3883	3536	2402	2611	3095	3908	1817	2688
lp_2042	2216	2020	1533	1577	1918	2203	1213	1575
lp_2043	6695	6412	4379	4515	6214	7275	3821	5129
lp_2044	2533	2426	1431	1593	2062	2475	1184	1565
lp_2045	9780	9901	8401	7716	8110	8950	7821	7901
lp_2048	13910	14892	12320	12013	13066	14761	14579	15083
lp_2049	4218	3788	3481	3052	4187	3951	3777	3891
lp_2050	2294	2086	1979	1985	2177	2116	2251	2184
lp_2054	21525	23252	16799	14917	20527	18174	15099	13137
lp_2055	57698	60935	43635	34829	61142	49220	38135	31244
lp_2056	2407	2906	1180	1031	3284	3729	1860	1888
lp_2057	78129	94869	65686	67016	81228	88931	98609	87287
lp_2058	239	268	263	245	778	322	334	289
lp_2059	839	918	719	767	1340	1396	1304	1326
lp_2060	993	1205	1073	1142	1096	1242	1454	1159
lp_2061	440	333	276	226	336	248	256	250
lp_2062	965	886	685	506	413	331	246	283
lp_2063	4577	6056	4421	5102	4024	5784	6226	5847
lp_2066	313	395	250	245	1067	1184	1045	969
lp_2067	999	881	1025	1125	1239	1242	1488	1402
lp_2068	723	633	581	806	643	797	696	818
lp_2069	13	16	6	20	8	13	16	9
lp_2071	1225	1334	1301	894	3594	3218	3088	2604
lp_2081	122	108	107	142	150	107	136	168
lp_2082	434	357	317	628	332	336	482	509
lp_2083	1057	1033	967	1185	917	1040	947	1199
lp_2084	16	8	4	9	22	12	6	13
lp_2085	1413	1585	1206	1381	1268	1556	1356	1234
lp_2086	6947	6990	5103	4442	6543	5590	5403	4692
lp_2087	8625	9145	6559	7057	8815	9317	8114	8600
lp_2088	629	478	438	548	644	610	483	618
lp_2089	1425	1228	1071	1437	1369	1861	1335	1760
lp_2090	1596	1378	1226	1654	1568	1669	1709	2004
lp_2093	494	745	1113	1500	564	797	1539	1320
lp_2094	4139	3725	3129	3876	4107	4667	4504	5136
lp_2095	236	311	1095	1178	235	333	1384	1272
lp_2096	301	381	1621	1798	364	538	1849	1876
lp_2097	458	639	2363	2482	527	779	2644	2580
lp_2098	160	209	562	513	155	195	764	721
lp_2099	1277	1048	26	60	637	562	76	86
lp_2100	734	707	16	17	351	380	36	56
lp_2102	865	877	20	27	423	464	61	79
lp_2104	288	227	8	4	112	126	10	18
lp_2106	555	363	17	26	157	276	18	33
lp_2107	519	366	29	57	152	196	41	51
lp_2108	324	252	20	53	106	162	22	39
lp_2109	2200	2244	2867	3127	2113	2200	2935	2831
lp_2110	3016	3286	2070	1778	3010	3069	1651	1422
lp_2111	4641	4949	2920	2859	4239	4906	2475	2229
lp_2112	963	1139	894	794	1142	1051	1585	1133
lp_2113	10165	12145	16853	17710	7466	9001	17853	13875
lp_2114	1446	1369	1000	1011	928	798	827	853
lp_2115	4981	4628	3437	4355	3063	3421	2491	3045
lp_2116	10109	11038	8857	8727	10328	9817	9472	8911
lp_2118	53503	58752	39763	41511	51086	50505	51813	46793
lp_2119	304742	331295	299861	309971	295085	307691	385049	347366
lp_2121	599	538	333	230	387	356	179	192
